,year_quarter,tax_revenue,total_expense,indirect_tax,employment,employed_people_thousands,unemployment,unemployed_people_thousands,lfp_rate,labour_force_people_thousands,informal_employed_15_70_thousands,Population,M0,M1,M2,schooling,rule_of_law,government_effectiveness,corruption_perceptions,fiscal_freedom,business_freedom,Financial freedom index (0-100),economic_freedom,electricity,log_electricity,dlog_electricity,usd_avg_q,eur_avg_q,interest_rate_avg_q,cpi_base_2010,nominal_gdp,gdp_s21,gdp_2,2021_deflator,tax_burden,direct_tax_share,gov_expenditure_share,deflated_tax_revenue,gdp_per_capita,cash_demand,deflated_M1,unemployment_rate,employment_rate,electricity_consumptions
20,2015Q1,112631100000.0,126028300000.0,56662700000.0,64.7,0.0,9.5,0.0,71.5,0.0,,42928900.0,283871688700.0,447405218000.0,1135212619400.0,82.0543270079166,36.0,39.0,27,79.0,59.0,30.0,47.0,31137946.80252652,17.25393778778809,-0.0126620971998505,21.11566568888889,23.78934436666667,20.5006,144.9,375991000000.0,1239000000000.0,375991000000.0,329.5291642619105,29.955796814285446,49.69178139963118,33.518967209321495,34179402679.66102,28861.67593392796,0.2500603709374163,135771053527.8757,13.286713286713287,90.4895104895105,0.008281567059457944
21,2015Q2,119085700000.0,159206300000.0,59333500000.0,64.7,0.0,9.5,0.0,71.5,0.0,,42928900.0,283413863700.0,445872065300.0,963473576500.0,80.32443655450871,36.0,39.0,27,79.0,59.0,30.0,47.0,30712268.647530492,17.24017276293926,-0.0137650248488299,21.611451373626373,23.87087540659341,30.0,182.46666666666667,456715000000.0,1212057000000.0,456715000000.0,265.3858533220936,26.07440088457791,50.17579776581067,34.85900397403194,44872663146.6177,28234.056777602036,0.2941584186766745,168008980026.09573,13.286713286713287,90.4895104895105,0.0067246025743692445
22,2015Q3,127619600000.0,147955400000.0,64797600000.0,64.7,0.0,9.5,0.0,71.5,0.0,,42928900.0,276317079300.0,443906977200.0,948074791300.0,78.5945461011008,36.0,39.0,27,79.0,59.0,30.0,47.0,29398559.371681485,17.19645623014511,-0.04371653279415,21.721891652173912,24.132549565217392,28.537633333333332,182.8,566997000000.0,1216781000000.0,566997000000.0,214.60095908796694,22.50798505106729,49.22598096217195,26.094564874240955,59468326955.46693,28344.09919657853,0.29145071869394823,206852280197.88968,13.286713286713287,90.4895104895105,0.005184958539759732
23,2015Q4,148299500000.0,246681400000.0,68453700000.0,64.7,0.0,9.5,0.0,71.5,0.0,,42928900.0,272974609000.0,447551272500.0,969801630600.0,76.8646556476929,36.0,39.0,27,79.0,59.0,30.0,47.0,27761015.178261533,17.13914326275632,-0.0573129673887891,22.84912233695652,25.01613379347826,22.0,185.6,588841000000.0,1220834000000.0,588841000000.0,207.32829405561094,25.184982024009877,53.84090978054545,41.89270108569206,71528828554.49635,28438.511119548835,0.28147468553039573,215865989028.95273,13.286713286713287,90.4895104895105,0.004714518041077563
24,2016Q1,146940800000.0,159996600000.0,74234600000.0,64.2,0.0,9.7,0.0,71.1,0.0,,42760500.0,269287591900.0,452853310600.0,1015239163000.0,76.90845110315563,37.0,39.6,29,79.0,57.0,30.0,47.0,25339506.40041472,17.04787525359946,-0.0912680091568596,25.65373637362637,28.276404373626377,22.0,189.5,455298000000.0,1236499000000.0,455298000000.0,271.5801519005135,32.273543920684915,49.47992660990004,35.14107244046756,54105868551.774,28916.8508319594,0.2652454729034128,166747572468.36334,13.642756680731363,90.29535864978904,0.005565477204032243
25,2016Q2,153965100000.0,190430200000.0,86231400000.0,64.2,0.0,9.7,0.0,71.1,0.0,,42760500.0,281531132500.0,474289230900.0,1020306173100.0,76.95224655861836,37.0,39.6,29,79.0,57.0,30.0,47.0,21942422.448968586,16.903932419157947,-0.1439428344415141,25.262259527472523,28.553679296703297,19.196233333333335,197.1,535701000000.0,1248089000000.0,535701000000.0,232.98239129663747,28.740864773446383,43.99289189563089,35.54785225340255,66084436314.31734,29187.895370727656,0.27592808896237775,203572994620.06387,13.642756680731363,90.29535864978904,0.004096020438447676
26,2016Q3,159645300000.0,206256400000.0,81626600000.0,64.2,0.0,9.7,0.0,71.1,0.0,,42760500.0,289252985200.0,484347946100.0,1047107404500.0,76.99604201408107,37.0,39.6,29,79.0,57.0,30.0,47.0,21040016.40775065,16.861936725669537,-0.0419956934884098,25.376012630434783,28.346334815217393,15.717733333333332,197.5666666666667,671456000000.0,1255579000000.0,671456000000.0,186.99348877662868,23.775988300052422,48.870026239419516,30.71778344374017,85374790878.7898,29363.05702692906,0.2762400341712033,259018615711.57343,13.642756680731363,90.29535864978904,0.0031334914585245573
27,2016Q4,190230500000.0,279148900000.0,95164100000.0,64.2,0.0,9.7,0.0,71.1,0.0,,42760500.0,289438437200.0,491980280400.0,1044699510800.0,77.0398374695438,37.0,39.6,29,79.0,57.0,30.0,47.0,22174483.742866047,16.914452804845666,0.0525160791761294,25.889607076086953,27.95796031521739,14.290333333333336,208.4,722912000000.0,1267837000000.0,722912000000.0,175.37916094905052,26.314475344163608,49.97432062681851,38.61450632995441,108468132114.775,29649.723459735036,0.2770542478557845,280523796406.4188,13.642756680731363,90.29535864978904,0.003067383546388225
28,2017Q1,199335700000.0,216533100000.0,106045100000.0,73.7,2424.4,9.8,264.6,81.8,2689.0,3695.6,42584500.0,291614990500.0,506390679200.0,1059636620100.0,77.82963427574262,38.4,40.400000000000006,30,79.0,62.0,30.0,48.0,22062949.71667924,16.909410276208877,-0.005042528636789,27.061055488888886,28.80885858888889,14.0,215.9,591765000000.0,1268374000000.0,591765000000.0,214.3374481424214,33.684942502513664,46.800748686763086,36.59106233048592,93000873961.85982,29784.874778381807,0.27520282422145786,236258611637.2521,11.980440097799512,90.09779951100245,0.0037283296100106026
29,2017Q2,187402300000.0,227319200000.0,96808400000.0,73.6,2420.0,10.5,284.8,82.3,2704.8,3695.6,42584500.0,300937921100.0,525427102199.99994,1088392385100.0,78.61943108194146,38.4,40.400000000000006,30,79.0,62.0,30.0,48.0,21967965.160256263,16.905095821057106,-0.0043144551517713,26.46269275824175,29.06404804395605,12.9455,224.26666666666665,664307000000.0,1274370000000.0,664307000000.0,191.83449820640155,28.21019498514994,48.34193603813828,34.21899814393044,97689571871.66992,29925.677183012598,0.2764976356136029,273896044305.16678,12.75820170109356,89.42891859052247,0.003306899544977888
