,year_quarter,gdp_s21,gdp_2,gdp_per_capita,schooling,rule_of_law,government_effectiveness,corruption_perceptions,fiscal_freedom,business_freedom,economic_freedom,usd_avg_q,eur_avg_q,interest_rate_avg_q,tax_burden,direct_tax_share,gov_expenditure_share,deflated_tax_revenue,cash_demand,deflated_M1,unemployment_rate,employment_rate,lfp_rate,electricity_consumptions,electricity
33,2018Q2,1319063000000.0,809938000000.0,31119.958288507634,80.84684815769185,39.6,42.800000000000004,32,80.0,63.0,52.0,26.178412450549448,31.267784593406596,17.0,28.841899009553817,48.68881407011513,37.658042961313086,143437221502.6879,0.2783161489311887,380382092271.51154,11.538461538461538,90.38461538461539,83.2,0.0027800838278265955,22516955.35342217
34,2018Q3,1333457000000.0,994728000000.0,31459.548345695788,81.17075988936823,39.6,42.800000000000004,32,80.0,63.0,52.0,27.348997630434784,31.813137086956523,17.568833333333334,25.359324358015456,47.725349178593355,28.614887687890562,188177350140.57446,0.2792628231640074,463635688924.192,10.684273709483794,90.99639855942378,83.3,0.0022186261762177704,22069295.790167503
35,2018Q4,1345567000000.0,1049495000000.0,31745.253194420853,81.4946716210446,39.6,42.800000000000004,32,80.0,63.0,52.0,27.95018585869565,31.91373841304348,18.0,26.434494685539235,47.815492773458544,38.932553275623036,216384641943.87943,0.28697397240126016,486878162403.02075,10.684273709483794,91.11644657863145,83.3,0.002172202764449117,22797159.40275526
36,2019Q1,1362369000000.0,820006000000.0,32319.46803564142,82.24134276857095,38.2,42.6,30,82.0,66.0,52.0,27.305811266666662,31.0292602,18.0,30.06117028411987,53.59394637153078,34.671831669524366,148369690605.40863,0.2740780942504927,394209649854.9905,13.096862210095498,90.45020463847203,73.3,0.00277215866907609,22731867.41594408
37,2019Q2,1376313000000.0,932459000000.0,32650.261427364945,82.9880139160973,38.2,42.6,30,82.0,66.0,52.0,26.561455571428574,29.83274667032967,17.6389,27.662878475085765,51.997751458644295,36.24809240942497,174759038645.27908,0.2779926424473116,443549625418.9973,11.940298507462687,91.18046132971506,73.7,0.002437576411798465,22729400.63369185
38,2019Q3,1367118000000.0,1111962000000.0,32432.12852167807,83.73468506362366,38.2,42.6,30,82.0,66.0,52.0,25.26130891304348,28.100943108695652,16.957866666666664,24.313043071615756,50.2655428963299,28.523348819474048,219893914228.03302,0.27304546035568195,547656600527.45544,11.351351351351353,91.62162162162161,74.0,0.0019837411260459534,22058447.500003107
39,2019Q4,1368945000000.0,1112771000000.0,32475.470426918953,84.48135621115,38.2,42.6,30,82.0,66.0,52.0,23.241033673913044,25.717066413043476,15.349466666666666,26.557270094206263,51.57826026930012,38.9003757286989,240219925821.41724,0.27038099967772405,567002353375.3486,11.621621621621621,91.35135135135134,74.0,0.0019119369259587972,21275479.650360968
40,2020Q1,1380661000000.0,858415000000.0,32949.449196227426,83.89466696288078,38.6,42.400000000000006,33,81.0,61.0,55.0,25.052529670329672,27.615378021978024,11.602166666666667,29.7338583319257,54.83104326557093,34.79530297117361,158693378576.27615,0.2539306068702884,478610952161.09674,11.930294906166221,91.01876675603219,74.6,0.002507806571297644,21527387.77900467
41,2020Q2,1252647000000.0,879921000000.0,29894.397456947572,83.30797771461155,38.6,42.400000000000006,33,81.0,61.0,55.0,26.91433076923077,29.602817582417583,8.088866666666666,26.683361347211854,50.844469052461214,40.58857556530643,164929825715.0658,0.2760320320827355,588663233196.4141,13.132694938440492,90.42407660738714,73.1,0.002237091989373723,19684642.203817155
42,2020Q3,1305082000000.0,1173113000000.0,31145.75776089198,82.72128846634233,38.6,42.400000000000006,33,81.0,61.0,55.0,27.599603260869568,32.24289456521739,6.0,24.583727228323273,47.07451484058838,32.08288545093269,259232604789.35422,0.2813311687728499,816905688916.073,13.287671232876711,90.27397260273973,73.0,0.0018286717208337384,21452385.684424296
43,2020Q4,1330899000000.0,1310577000000.0,31761.87998778113,82.1345992180731,38.6,42.400000000000006,33,81.0,61.0,55.0,28.26781956521739,33.69649021739131,6.0,27.336043589960756,52.237663216006034,42.97282036843314,352789494140.6522,0.2794428161251046,956451479382.6813,13.5989010989011,90.1098901098901,72.8,0.0016194497257890125,21224135.632753868
44,2021Q1,1336876000000.0,1019715000000.0,32145.405930499852,80.5779352912525,38.6,42.00000000000001,32,89.0,64.0,56.0,27.969396666666665,33.75689111111111,6.145166666666667,29.761325468390677,50.35351506702074,32.97847928097556,231482816656.51862,0.2805677105796905,795102891446.6039,15.03448275862069,89.10344827586206,72.5,0.0019647336741331622,20034683.98518697
45,2021Q2,1354415000000.0,1182310000000.0,32567.134104702272,79.0212713644319,38.6,42.00000000000001,32,89.0,64.0,56.0,27.59104065934066,33.23316813186813,7.333333333333333,28.32115096717443,51.39363488289166,36.668386463786995,292295325419.4616,0.2822706370959014,958954242100.8473,14.187327823691462,89.80716253443526,72.6,0.0017169276393971034,20299407.173355896
