year_quarter,eta_z_change,eta_level,KIIS_2017_18_q,KIIS_2017_18_4qma,NBU_2018_q,NBU_2018_4qma,HS_2010_q,HS_2010_4qma,HS_2011_q,HS_2011_4qma,HS_2012_q,HS_2012_4qma,HS_2013_q,HS_2013_4qma
2018Q2,-0.05421483780025363,-0.16909051675139528,39.34645741052407,38.56796265120583,23.69474427994157,22.91624952062333,57.985054418654805,57.20655965933657,56.743967043326315,55.96547228400808,59.345418777064474,58.56692401774624,55.38862896938701,54.61013421006877
2018Q3,-0.019032854061619586,-0.18812337081301486,39.17643338849644,38.861367456381636,23.524720257913945,23.209654325799136,57.81503039662718,57.499964464512374,56.57394302129869,56.258877089183876,59.17539475503685,58.86032882292204,55.21860494735938,54.903539015244576
2018Q4,0.030981075458287065,-0.1571422953547278,39.45319309248543,39.4517131305825,23.801479961902928,23.8,58.091790100616166,58.090310138713235,56.850702725287675,56.849222763384745,59.452154459025834,59.450674497122904,55.49536465134837,55.49388468944544
2019Q1,1.1717781722828726,1.014635876928145,49.92090524593863,41.97424728436114,34.269192115356134,26.322534153778644,68.55950225406937,60.612844292491886,67.31841487874088,59.371756917163395,69.91986661247904,61.97320865090155,65.96307680480157,58.01641884322408
2019Q2,-0.049068028514496015,0.965567848413649,49.482571429371184,44.508275789072925,33.830858298788684,28.85656265849042,68.12116843750192,63.146872797203656,66.88008106217343,61.905785421875166,69.48153279591159,64.50723715561332,65.52474298823412,60.55044734793586
2019Q3,-0.0555244847447989,0.9100433636688501,48.98656088955627,46.96080766433788,33.33484775897378,31.30909453375538,67.62515789768702,65.59940467246862,66.38407052235851,64.35831729714013,68.98552225609669,66.95976903087828,65.0287324484192,63.00297922320081
2019Q4,0.08901564860481895,0.999059012273669,49.78175421947883,49.54294794608623,34.130041088896334,33.891234815503736,68.42035122760957,68.18154495421697,67.17926385228108,66.94045757888848,69.78071558601923,69.54190931262664,65.82392577834176,65.58511950494916
2020Q1,-1.3394966397685553,-0.34043762749488626,37.81578183044017,46.51666709221162,22.164068699857676,30.86495396162912,56.45437883857091,65.15526410034235,55.21329146324242,63.91417672501386,57.81474319698058,66.51562845875202,53.85795338930311,62.55883865107455
2020Q2,-0.16253737067704604,-0.5029749981719323,36.36380529540047,43.23697555871893,20.71209216481797,27.58526242813644,55.002402303531206,61.87557256684967,53.761314928202715,60.634485191521186,56.362766661940874,63.23593692525934,52.40597685426341,59.27914711758187
2020Q3,-0.15225459712838607,-0.6552295953003183,35.00368668722146,39.741257008135236,19.35197355663896,24.089543877552735,53.6422836953522,58.379854016265966,52.40119632002371,57.138766640937476,55.00264805376187,59.740218374675635,51.04585824608439,55.78342856699817
2020Q4,0.27179244593116636,-0.38343714936915196,37.43165911134307,36.65373323110129,21.779945980760576,21.002020100518795,56.07025611947381,55.29233023923203,54.82916874414532,54.051242863903546,57.43062047788348,56.6526945976417,53.47383067020601,52.69590478996423
2021Q1,0.243988471678526,-0.13944867769062597,39.6112534669164,37.10260114022035,23.9595403363339,21.45088800963785,58.24985047504714,55.74119814835109,57.00876309971865,54.5001107730226,59.61021483345681,57.10156250676076,55.65342502577934,53.14477269908329
2021Q2,0.0760756664537492,-0.06337301123687676,40.29085153176901,38.084362699312486,24.639138401186507,22.43264956872999,58.929448539899745,56.72295970744322,57.688361164571255,55.48187233211473,60.289812898309414,58.08332406585289,56.33302309063194,54.126534258175425
2021Q3,-0.07223785318308637,-0.13561086441996312,39.64553736600776,39.244825369009064,23.99382423542526,23.593112238426563,58.284134374138496,57.8834223771398,57.043046998810006,56.64233500181131,59.644498732548165,59.24378673554947,55.6877089248707,55.286996927872
2021Q4,0.13561086441996156,-1.5543122344752192e-15,40.85697441715505,40.10115419546206,25.20526128657255,24.449441064879558,59.49557142528579,58.739751203592796,58.2544840499573,57.4986638282643,60.85593578369546,60.100115562002465,56.89914597601799,56.143325754325
