n_causes,n_indicators,n_sig_causes,n_sig_inds,correct_g,correct_l,mean_abs_z,chi2,df,pvalue,cfi,tli,rmsea,aic,bic,score,causes,indicators
3,2,2,1,1,1,2.4581378486739456,1.1136836271318913,2,0.5730159002265361,1.0,1.185025152337783,0.0,600.4377040404187,612.9270314778465,5.079147118200727,d_tax_burden|d_corruption_perceptions|d_government_effectiveness,sdiff_deflated_M1|d_employment_rate
4,2,1,1,2,2,3.094468918056459,4.231619397484973,3,0.23751518888036682,0.9831736565404401,0.9158682827022004,0.09659425438889606,675.1660294882264,689.4395465595725,5.059446891805646,dlog_gdp_per_capita|d_direct_tax_share|d_unemployment_rate|d_government_effectiveness,d_employment_rate|dlog_deflated_tax_revenue
3,2,1,1,2,2,1.8744301046269776,3.3131969751499106,2,0.1907868414343462,0.9532838315431962,0.7664191577159807,0.12215847452973044,598.4783402752885,610.9676677127163,5.054109677129364,d_tax_burden|d_direct_tax_share|d_corruption_perceptions,dlog_deflated_tax_revenue|sdiff_gdp_2
3,3,1,2,3,3,3.731620577404264,104.41899715659308,6,0.0,0.47440935709508136,-0.31397660726229665,0.6105728716981795,663.2952206252266,679.352927330491,5.0398287244070925,dlog_gdp_per_capita|d_direct_tax_share|d_unemployment_rate,d_employment_rate|d_lfp_rate|dlog_deflated_tax_revenue
3,2,2,1,2,2,2.0523973390009753,6.86757872940489,2,0.03226444707594456,0.8543641137822737,0.27182056891136847,0.23518799852953445,596.7199045313345,609.2092319687623,5.038573067233431,dlog_gdp_per_capita|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|dlog_deflated_tax_revenue
4,2,2,1,1,2,1.5213659017518495,2.0481382232660437,3,0.5624757878929985,1.0,1.1274724830681198,0.0,708.8424803163247,723.1159973876707,5.027136590175185,d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions|d_government_effectiveness,dlog_deflated_tax_revenue|sdiff_gdp_2
3,3,1,2,3,3,1.5702117954178647,11.083768153920861,6,0.08582172302448321,0.8584641213896969,0.6461603034742422,0.13876850346072964,721.2954982238457,737.35320492911,5.023687846208452,d_direct_tax_share|d_unemployment_rate|d_government_effectiveness,sdiff_gdp_2|d_lfp_rate|dlog_deflated_tax_revenue
3,3,2,0,3,3,1.8795343124967452,6.488826535539026,6,0.37071192753297255,0.9189357904401488,0.7973394761003723,0.04303040395953253,746.5890238922653,762.6467305975297,5.0212867645830075,dlog_gdp_per_capita|d_direct_tax_share|d_corruption_perceptions,d_lfp_rate|d_employment_rate|sdiff_deflated_M1
3,3,2,0,3,3,1.7384519399387521,3.10609028479551,6,0.7954184712470134,1.0,2.0047055191593968,0.0,742.0355126450867,758.093219350351,5.007178527327208,d_tax_burden|d_direct_tax_share|d_corruption_perceptions,d_lfp_rate|d_employment_rate|sdiff_deflated_M1
3,2,2,0,3,2,1.7356872653001758,1.9927804214729683,2,0.3692098081560593,1.0,1.0087837353182958,0.0,621.1584121083039,633.6477395457317,5.006902059863351,dlog_gdp_per_capita|d_direct_tax_share|d_corruption_perceptions,d_lfp_rate|sdiff_deflated_M1
3,2,2,0,3,2,1.6703129170409508,2.1401248093428293,2,0.3429871127527673,0.986637762989818,0.9331888149490899,0.03990397698094499,614.9287573673661,627.4180848047939,5.000364625037428,d_tax_burden|d_direct_tax_share|d_corruption_perceptions,d_lfp_rate|d_employment_rate
4,2,2,1,3,2,3.600861716542653,23.07453777582652,3,3.896381275891869e-05,0.7953577576671113,-0.0232112116644436,0.3899741422646499,669.109083234741,683.382600306087,4.985086171654265,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate|d_corruption_perceptions,d_employment_rate|dlog_deflated_tax_revenue
4,2,2,1,3,2,1.505996742341107,6.9983591512281365,3,0.0719500903195488,0.8756154037900659,0.37807701895032925,0.17404194790485478,718.983540778091,733.257057849437,4.975599674234111,dlog_gdp_per_capita|d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,dlog_deflated_tax_revenue|d_employment_rate
4,2,2,1,3,2,3.4633740727678655,21.951109629276566,3,6.677702428592447e-05,0.7894482596180067,-0.052758701909966725,0.37890501757433126,676.0745214576605,690.3480385290065,4.971337407276787,dlog_gdp_per_capita|d_tax_burden|d_direct_tax_share|d_unemployment_rate,d_employment_rate|dlog_deflated_tax_revenue
4,2,2,1,3,2,3.4264607732579253,22.03492871887545,3,6.414856759995313e-05,0.8058417729431292,0.02920886471564614,0.37974202486165015,668.1270124785597,682.4005295499057,4.967646077325792,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate|d_government_effectiveness,d_employment_rate|dlog_deflated_tax_revenue
3,2,1,1,2,2,0.9885095668231175,3.247820007785119,2,0.19712642518073353,0.958837707872153,0.7941885393607648,0.11907885125302473,596.2084420574373,608.6977694948652,4.965517623348978,d_tax_burden|d_direct_tax_share|d_corruption_perceptions,d_employment_rate|dlog_deflated_tax_revenue
3,2,1,1,3,2,2.3517762814430925,10.255488755677614,2,0.005929921061158194,0.7778620868026942,-0.11068956598652946,0.3062880543273101,596.3669503593003,608.8562777967281,4.901844294810975,d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions,dlog_deflated_tax_revenue|d_lfp_rate
3,3,1,2,1,3,2.2286575164140725,8.483332939360942,6,0.20478701837926905,0.9288457493614283,0.8221143734035706,0.0969874433328665,719.7129486943697,735.770655399634,4.8895324183080735,d_tax_burden|d_direct_tax_share|d_government_effectiveness,dlog_deflated_tax_revenue|d_employment_rate|sdiff_gdp_2
3,2,1,1,3,2,2.21889268473975,6.207593771016789,2,0.044878480041536384,0.8577277377852474,0.2886386889262368,0.21866313264868462,599.9086161784932,612.397943615921,4.888555935140641,dlog_gdp_per_capita|d_tax_burden|d_direct_tax_share,dlog_deflated_tax_revenue|d_employment_rate
